stage,test,pass,observed,error
p0,build_and_frozen_baseline,PASS,"build=SOMA-CELL 0.6-P0.0, baseline_sha256=5f37ac140e5a5e5cbf0e2f48597e3366ea3710a112f35940de35aae1e1931459",
p0,unattached_exact_lockstep,PASS,"3 seeds x 240 steps exact: 101:3543f5751b49, 202:6e0254d6c1a5, 303:e02cd9ebd275",
p0,null_attachment_physical_lockstep,PASS,"null metadata is physically inert: 111:1, 222:1, 333:1",
p0,sensor_readonly_rng_neutral_no_privileged_labels,PASS,"state/RNG unchanged; immutable; no privileged keys (autopoietic_margin,cell_age,correct_action,fitness,food_direction,position,reward,world_age)",
p0,port_surface_hides_mutable_body_and_attachment_state,PASS,no public body/world/state backdoor; immutable diagnostic attachment status,
p0,sensor_schema_physical_shapes,PASS,"membrane=(36,), transporters=(36, 4), ligands=(8, 36), pools=(13,)",
p0,port_disabled_fails_closed,PASS,2/2 port operations rejected while disabled,
p0,invalid_budget_requests_fail_closed,PASS,4/4 malformed requests rejected without physical mutation,
p0,budget_capped_reserves_and_nonnegative,PASS,"grant={'atp': 0.006, 'protein': 0.003, 'membrane': 0.0018, 'signal': 0.0016} reserves maintained",
p0,budget_transfer_and_return_conserve_material,PASS,"allocated/returned={'atp': 0.09, 'protein': 0.04, 'membrane': 0.025, 'signal': 0.018} residual=+0.000e+00",
p0,multiple_tissues_share_finite_body_budget,PASS,"a={'atp': 0.4, 'protein': 0.37903225806451607, 'membrane': 0.15, 'signal': 0.37903225806451607}, b={'atp': 0.16000000000000003, 'protein': 0.0, 'membrane': 0.0, 'signal': 0.0}, remaining_ATP=0",
p0,material_commit_is_paid_conservative_and_cannot_mint,PASS,"built={'functional_protein': np.float64(0.035), 'damaged_protein': np.float64(0.010000000000000002), 'aggregate': np.float64(0.005000000000000001), 'membrane': np.float64(0.03), 'signal': np.float64(0.02), 'atp_spent': 0.0322, 'material_residual': 0.0} ATP spent=0.0322",
p0,forbidden_effector_rewrites_fail_closed,PASS,5/5 direct or unknown rewrites rejected,
p0,motor_effector_is_paid_bounded_and_indirect,PASS,"force=0.0144689, ATP=0.00111962, indirect displacement=0.000304245",
p0,transporter_polarity_conserves_channel_material,PASS,"movement=0.00056462, max channel residual=4.163e-17",
p0,repair_and_quiescence_are_paid_physical_requests,PASS,"repair gain=0.14, quiescence=0.54, ATP=0.00014625",
p0,dead_tissue_return_is_conservative,PASS,"material=0.083, ATP dissipated=0.07796, residual=+0.000e+00",
p0,host_death_routes_tissue_into_spatial_corpse,PASS,"tissue=0.071, corpse=4.1077, ledger=-1.776e-15",
p0,division_recycles_tissue_without_free_inheritance,PASS,"replication steps=271, tissue recycled=0.071, division residual=+8.882e-16",
p0,pure_05_state_migrates_without_physical_change,PASS,"baseline=818b1420611abf92, migrated=818b1420611abf92",
p0,save_restore_exact_with_attachment_state,PASS,save and 180-step continuation are exact,
p0,logger_noninterfering_and_budget_stress_finite,PASS,logger-neutral; finite 240-step budget/effector stress; max port residual=3.553e-15,
p1,build_and_frozen_p0,PASS,"build=SOMA-CELL 0.6-P1.0, P0=0.6-P0.2, sha=0568ff6b64c7409aeaf11c906699f150a08a520ea2bd7b717801abd66f4980c9",
